time,pitch,energy
5.92,873.0,78.73602112956269
5.93,871.0,78.6197718522277
5.94,870.0,78.46661112592332
5.95,871.0,78.33832594086894
5.96,872.0,78.25654868291049
5.97,872.0,78.23971469128959
5.98,875.0,78.31519569821631
5.99,880.0,78.44935051107336
6.0,882.0,78.57264927751388
6.01,881.0,78.67478026190149
6.0200000000000005,882.0,78.78305363980724
6.03,884.0,78.88017694461543
6.04,884.0,78.92751638100482
6.05,881.0,78.93538266445138
6.0600000000000005,881.0,78.93315493665915
6.07,880.0,78.90298795806765
6.08,877.0,78.81912408859833
6.09,874.0,78.71757340295476
6.1000000000000005,874.0,78.65237071592702
6.11,875.0,78.62118165115416
6.12,873.0,78.60258231458052
6.13,874.0,78.60648354631668
6.140000000000001,878.0,78.63122979240593
6.15,880.0,78.6433590549456
6.16,881.0,78.63110629186389
6.17,882.0,78.61369388142005
6.18,883.0,78.59592550061922
6.19,882.0,78.56640442208115
6.2,881.0,78.52976651868838
6.21,880.0,78.49897515705109
6.22,878.0,78.4682033130012
6.23,876.0,78.42112633093777
6.24,873.0,78.35513056318882
6.25,871.0,78.28383539241811
6.26,871.0,78.22370146668682
6.2700000000000005,873.0,78.17863015374418
6.28,876.0,78.13743386293
6.29,879.0,78.09642529335655
6.3,880.0,78.06743191829426
6.3100000000000005,882.0,78.04494391209377
6.32,884.0,78.00325406076848
6.33,883.0,77.94621666563788
6.34,881.0,77.90633302674402
6.3500000000000005,882.0,77.88121842265053
6.36,883.0,77.84082659760999
6.37,883.0,77.80283307028786
6.38,884.0,77.81373498880632
6.390000000000001,886.0,77.85495975180972
6.4,886.0,77.86853171349203
6.41,885.0,77.8657192798467
6.42,884.0,77.90302674410209
6.43,885.0,77.96375825417748
6.44,884.0,77.9792683904308
6.45,881.0,77.95310426548787
6.46,881.0,77.94439350653644
6.47,885.0,77.94101320596047
6.48,885.0,77.87741230893569
6.49,882.0,77.77524202956282
6.5,880.0,77.73201532212973
6.51,881.0,77.7619191309629
6.5200000000000005,879.0,77.79385081737162
6.53,875.0,77.82571496641464
6.54,878.0,77.91261683567869
6.55,883.0,78.02985670019912
6.5600000000000005,886.0,78.10556505552941
6.57,886.0,78.14385747975115
6.58,888.0,78.18439079050725
6.59,889.0,78.1943235950037
6.6000000000000005,884.0,78.11943922686254
6.61,877.0,78.00295919644716
6.62,876.0,77.94332944819757
6.63,877.0,77.95017385949242
6.640000000000001,878.0,77.96330428089078
6.65,880.0,77.9870868563146
6.66,884.0,78.06153678490526
6.67,888.0,78.14052368470732
6.68,888.0,78.14227536487718
6.69,886.0,78.08635695168635
6.7,885.0,78.06162101649052
6.71,887.0,78.0773127981709
6.72,885.0,78.06794573598896
6.73,882.0,78.0396458258585
6.74,882.0,78.07315752747324
6.75,885.0,78.1715446723169
6.76,886.0,78.24327207433697
6.7700000000000005,883.0,78.25758004170339
6.78,883.0,78.27817247427458
6.79,886.0,78.32382488057459
6.8,887.0,78.32267457187527
6.8100000000000005,884.0,78.24545916258509
6.82,882.0,78.16234719166674
6.83,883.0,78.12138471063373
6.84,885.0,78.07224013174728
6.8500000000000005,884.0,77.9780306167998
6.86,884.0,77.89786113898387
6.87,887.0,77.88126955377
6.88,890.0,77.8711452294437
6.890000000000001,888.0,77.80327172589786
6.9,886.0,77.71447469703696
6.91,886.0,77.66653527708925
6.92,888.0,77.62803761844681
6.93,887.0,77.53756348021479
6.94,886.0,77.43844893922932
6.95,886.0,77.43222740331673
6.96,888.0,77.50713996854405
6.97,887.0,77.55200445278722
6.98,884.0,77.54744806066287
6.99,884.0,77.59915709237598
7.0,890.0,77.75110117071173
7.01,896.0,77.89846679665595
7.0200000000000005,897.0,77.96588147652875
7.03,898.0,78.03588846298057
7.04,901.0,78.21077451785136
7.05,907.0,78.41185157711377
7.0600000000000005,916.0,78.43888706575872
7.07,923.0,78.17624953200209
7.08,930.0,77.67999622974781
7.09,936.0,77.14242305731167
7.1000000000000005,942.0,76.77102557400472
7.11,947.0,76.63630350439237
7.12,951.0,76.66432002962479
7.13,952.0,76.79141072747015
7.140000000000001,952.0,77.04146412756606
7.15,951.0,77.42501257711467
7.16,950.0,77.82185757203148
7.17,952.0,78.00153233293476
7.18,956.0,77.71042820771386
7.19,951.0,76.74260737434086
7.2,944.0,75.03967591196846
7.21,962.0,72.87981132771253
7.22,968.0,70.99055433030003
7.23,966.0,69.98693158394157
7.24,966.0,69.760323056617
7.25,959.0,70.2605138000924
7.26,967.0,71.72281311622697
7.2700000000000005,986.0,73.7065996861706
7.28,972.0,75.36913026792953
7.29,977.0,76.37185827127506
7.3,979.0,76.83802081584179
7.3100000000000005,978.0,77.04446829219678
7.32,976.0,77.17499793573654
7.33,973.0,77.25741285857286
7.34,973.0,77.29202560431214
7.3500000000000005,974.0,77.32337625974678
7.36,975.0,77.38035840531842
7.37,976.0,77.44595173138912
7.38,977.0,77.50153703407959
7.390000000000001,976.0,77.54088047816205
7.4,974.0,77.56347955660775
7.41,974.0,77.60251801359388
7.42,971.0,77.71316546925627
7.43,964.0,77.89606025125545
7.44,957.0,78.09491592169941
7.45,950.0,78.28456160479477
7.46,939.0,78.49350256625146
7.47,925.0,78.74766476584581
7.48,914.0,79.04729268918715
7.49,903.0,79.37584535413468
7.5,897.0,79.68481256945674
7.51,893.0,79.91364778811808
7.5200000000000005,887.0,80.0697128258282
7.53,882.0,80.24466495533272
7.54,881.0,80.5045452873603
7.55,879.0,80.815429357611
7.5600000000000005,876.0,81.13078717422096
7.57,875.0,81.45519109748747
7.58,877.0,81.74651887130732
7.59,875.0,81.81445266681695
7.6000000000000005,865.0,81.36041646390402
7.61,863.0,80.07236913494249
7.62,861.0,77.66705957521508
7.63,853.0,73.95235291796777
7.640000000000001,-3000.0,70.03063491548306
7.65,-3000.0,71.28630859264766
7.66,830.0,76.08976782691668
7.67,867.0,79.49182279907713
7.68,877.0,81.40893282158854
7.69,872.0,82.07690925985018
7.7,872.0,81.80930595582595
7.71,877.0,81.03533099070594
7.72,881.0,80.19060000505506
7.73,885.0,79.51567824160476
7.74,888.0,79.07335547132176
7.75,890.0,78.8844495376604
7.76,891.0,78.88359600667252
7.7700000000000005,891.0,78.92363039486096
